Condition;Iteration;0;2;4;6
IMR90 prol.;1;0.1991;0.3397;0.5234;1.0465
IMR90 prol.;2;0.1884;0.313;0.6567;1.1497
IMR90 prol.;3;0.1955;0.3156;0.6064;1.2887
IMR90 prol. Zn+Q;1;0.1991;0.3397;0.5234;0.8522
IMR90 prol. Zn+Q;2;0.1884;0.313;0.6567;0.9571
IMR90 prol. Zn+Q;3;0.1955;0.3156;0.6064;1.0867
IMR90 sen.;1;0.4083;0.5196;0.6027;0.5705
IMR90 sen.;2;0.4607;0.5592;0.5787;0.6486
IMR90 sen.;3;0.419;0.5341;0.6772;0.7644
IMR90 sen. Zn+Q;1;0.4083;0.5196;0.6027;0.438
IMR90 sen. Zn+Q;2;0.4607;0.5592;0.5787;0.5641
IMR90 sen. Zn+Q;3;0.419;0.5341;0.6772;0.3741
