condition;iteration;0;1;2;3
RAW prol.;1;0.2354;0.5649;1.3285;3.1375
RAW prol.;2;0.2106;0.5454;1.4125;3.2477
RAW prol.;3;0.1952;0.5486;1.4507;3.2734
RAW prol. Zn+Q;1;0.2354;0.5649;1.3285;2.3715
RAW prol. Zn+Q;2;0.2106;0.5454;1.4125;1.9012
RAW prol. Zn+Q;3;0.1952;0.5486;1.4507;2.6161
RAW sen.;1;0.2354;0.591;1.2563;2.117
RAW sen.;2;0.2106;0.5465;1.1023;1.9933
RAW sen.;3;0.1952;0.5627;1.2837;2.2836
RAW sen. Zn+Q;1;0.2354;0.591;1.2563;0.3646
RAW sen. Zn+Q;2;0.2106;0.5465;1.1023;0.2123
RAW sen. Zn+Q;3;0.1952;0.5627;1.2837;0.2956
